tropical,adjective,"of, relating to, occurring in, or suitable for use in the tropics",,,
theory,noun,a scientifically acceptable or plausible general principle or body of principles based on data and offered to explain phenomena,,,
truly,adverb,in all sincerity : sincerely —often used with yours as a complimentary close (as of a letter) or humorously to refer to oneself,,,
therefore,adverb,for that reason : because of that : consequently,,,
trust / to trust,noun / verb,Definition unavailable.,,,
thorough,adjective,carried through to completion : exhaustive,,,
tsunami,noun,a great sea wave produced especially by submarine earth movement or volcanic eruption : tidal wave,,,
thoroughly,adverb,in a complete or thorough manner : to a complete or thorough extent,,,
tune,noun,a pleasing succession of musical tones : melody,,,
threat,noun,"an expression of intention to inflict evil, injury, or damage",,,
tunnel,noun,a covered passageway; specifically : a horizontal passageway through or under an obstruction,,,
to threaten,verb,"Word not found. Suggestions: titrate, moth-eaten, titrated",,,
ultimate,adjective,last in a progression or series : final,,,
unity,noun,the quality or state of not being multiple : oneness,,,
ultimately,adverb,in the end : fundamentally,,,
universal,adjective,including or covering all or a whole collectively or distributively without limit or exception; especially : available equitably to all members of a society,,,
unacceptable,adjective,not acceptable : not pleasing or welcome,,,
universe,noun,the whole body of things and phenomena observed or postulated : cosmos: such as,,,
uncertainty,noun,the quality or state of being uncertain : doubt,,,
unknown,adjective,not known,,,
unconscious,adjective,having lost consciousness,,,
upper,adjective,"higher in physical position, rank, or order",,,
to undergo,verb,"Word not found. Suggestions: the underground, go under, thunderer",,,
upwards,adverb,in a direction from lower to higher,,,
to undertake,verb,"Word not found. Suggestions: thunderstroke, undertake, thunderstrike",,,
urban,adjective,"of, relating to, characteristic of, or constituting a city",,,
unexpected,adjective,not expected : unforeseen,,,
to urge,verb,"Word not found. Suggestions: theurgy, to order, targe",,,
to unfold,verb,"Word not found. Suggestions: tenfold, fourfold, unfold",,,
urgent,adjective,calling for immediate attention : pressing,,,
unfortunate,adjective,"not favored by fortune : unsuccessful, unlucky",,,
usage,noun,firmly established and generally accepted practice or procedure,,,
unique,adjective,being the only one : sole,,,
useless,adjective,having or being of no use:,,,
to unite,verb,"Word not found. Suggestions: T-note, motor units, tenuity",,,
valid,adjective,having legal efficacy or force; especially : executed with the proper legal authority and formalities,,,
virtual,adjective,being such in essence or effect though not formally recognized or admitted,,,
variation,noun,the act or process of varying : the state or fact of being varied,,,
visa,noun,an endorsement made on a passport by the proper authorities denoting that it has been examined and that the bearer may proceed,,,
to vary,verb,"Word not found. Suggestions: tovarich, ovary, tovarish",,,
visible,adjective,capable of being seen,,,
vast,adjective,"very great in size, amount, degree, intensity, or especially in extent or range",,,
vision,noun,the act or power of seeing : sight,,,
venue,noun,locale; also : a place where events of a specific type are held,,,
visual,adjective,"of, relating to, or used in vision",,,
vertical,adjective,perpendicular to the plane of the horizon or to a primary axis : upright,,,
vital,adjective,of the utmost importance,,,
via,preposition,by way of,,,
vitamin,noun,"any of various organic substances that are essential in minute quantities to the nutrition of most animals and some plants, act especially as coenzymes and precursors of coenzymes in the regulation of metabolic processes but do not provide energy or serve as building units, and are present in natural foodstuffs or sometimes produced within the body",,,
victory,noun,the overcoming of an enemy or antagonist,,,
volume,noun,the degree of loudness or the intensity of a sound; also : loudness,,,
victorious,adjective,having won a victory,,,
voluntarily,adverb,proceeding from the will or from one's own choice or consent,,,
viewpoint,noun,"a position or perspective from which something is considered or evaluated : point of view, standpoint",,,
voluntary,adjective,proceeding from the will or from one's own choice or consent,,,
violence,noun,"the use of physical force so as to injure, abuse, damage, or destroy",,,
voting,noun,to cast or conduct a vote,,,
wage,noun,"a payment usually of money for labor or services usually according to contract and on an hourly, daily, or piecework basis —often used in plural",,,
widow,noun,a woman who has lost her spouse or partner by death and usually has not remarried,,,
to wander,verb,"Word not found. Suggestions: two-hander, no wonder, to windward",,,
wildlife,noun,"living things and especially mammals, birds, and fishes that are neither human nor domesticated",,,
warming,noun,to make warm,,,
willing,adjective,inclined or favorably disposed in mind : ready,,,
weakness,noun,the quality or state of being weak; also : an instance or period of being weak,,,
wire,noun,metal in the form of a usually very flexible thread or slender rod,,,
wealth,noun,abundance of valuable material possessions or resources,,,
wisdom,noun,ability to discern inner qualities and relationships : insight,,,
wealthy,adjective,having wealth : very affluent,,,
wise,adjective,"characterized by wisdom : marked by deep understanding, keen discernment, and a capacity for sound judgment",,,
weekly,adjective / adverb,every week : once a week : by the week,,,
to withdraw,verb,"Word not found. Suggestions: to weather, withdraw, withdraws",,,
weird,adjective,"of strange or extraordinary character : odd, fantastic",,,
witness / to witness,noun / verb,Word not found. Suggestions: witness stands,,,
welfare,noun,"the state of doing well especially in respect to good fortune, happiness, well-being, or prosperity",,,
wolf,noun,"any of several large predatory canids (genus Canis) that are active mostly at night, live and hunt in packs, and resemble the related dogs; especially : gray wolf",,,
wheat,noun,"a cereal grain that yields a fine white flour used chiefly in breads, baked goods (such as cakes and crackers), and pastas (such as macaroni or spaghetti), and is important in animal feeds",,,
workforce,noun,the workers engaged in a specific activity or enterprise,,,
whereas,conjunction,while on the contrary,,,
workplace,noun,"a place (such as an office, shop, or factory) where people work —often used before another noun",,,
wherever,conjunction,"at, in, or to any or all places that",,,
workshop,noun,a small establishment where manufacturing or handicrafts are carried on,,,
to whisper,verb,"Word not found. Suggestions: whisper, stage whisper, stage whispers",,,
worm,noun,earthworm; broadly : an annelid worm,,,
whoever,pronoun,whatever person : no matter who —used in any grammatical relation except that of a possessive,,,
wound / to wound,noun / verb,"Word not found. Suggestions: wound down, pound for pound, enough to go round",,,
whom,pronoun,—used as an interrogative or relative—used as object of a verb or a preceding preposition or less frequently as the object of a following preposition though now often considered stilted especially as an interrogative and especially in oral use—occasionally used as predicate nominative with a copulative verb or as subject of a verb especially in the vicinity of a preposition or a verb of which it might mistakenly be considered the object,,,
